enrollment_id,student_id,course_id,enrollment_date,completion_status,progress_percent
159,12887,136,2025-09-16,Completed,93.0
160,9961,129,2025-03-06,Completed,24.0
161,21281,188,2024-11-17,Completed,22.0
162,23438,128,2025-05-19,Completed,25.0
163,25535,168,2024-09-29,Dropped,0.0
164,1592,14,2024-08-04,Completed,33.0
165,11454,193,2024-09-15,Completed,78.0
166,13340,156,2024-04-01,Completed,57.0
167,2589,77,2025-04-19,Completed,31.0
168,2539,72,2025-06-13,Completed,36.0
169,14824,183,2026-01-14,Completed,58.0
170,25367,179,2024-04-24,Completed,57.0
171,12460,135,2024-06-19,Completed,8.0
172,6182,131,2024-03-31,In Progress,84.0
173,12209,91,2024-03-02,Completed,58.0
174,20779,19,2025-06-12,In Progress,1.0
175,19483,110,2025-12-23,In Progress,83.0
176,25224,21,2025-01-07,Dropped,77.0
177,13036,44,2024-10-19,In Progress,93.0
178,5877,192,2025-04-29,In Progress,17.0
179,1476,65,2025-01-08,Completed,18.0
180,13781,94,2024-08-03,In Progress,96.0
181,21589,148,2024-11-13,In Progress,51.0
182,29598,132,2025-09-13,Dropped,4.0
183,26637,92,2024-05-26,In Progress,92.0
184,24122,122,2024-12-20,Dropped,2.0
185,5076,63,2024-08-10,In Progress,84.0
186,25700,105,2025-10-11,Completed,1.0
187,25192,195,2024-05-07,Completed,60.0
188,25861,126,2024-05-27,In Progress,44.0
189,26902,166,2024-04-30,Dropped,87.0
190,29626,167,2025-06-14,In Progress,84.0
191,11330,71,2025-11-13,Completed,76.0
192,20057,133,2024-10-07,Dropped,47.0
193,2856,82,2024-12-15,Completed,76.0
194,18008,2,2026-02-05,Completed,34.0
195,28026,121,2024-06-07,In Progress,59.0
196,5637,47,2024-09-17,Completed,59.0
197,10896,97,2026-02-02,Completed,56.0
198,9333,110,2024-08-14,Completed,14.0
199,2831,33,2025-11-02,In Progress,96.0
200,8691,175,2026-01-22,Dropped,31.0
201,14541,8,2024-10-24,Dropped,79.0
202,4683,55,2024-12-28,In Progress,48.0
203,9296,108,2025-03-01,Dropped,99.0
204,3090,105,2024-03-10,Completed,39.0
205,1753,48,2024-03-11,Completed,94.0
206,4015,140,2025-12-18,Dropped,90.0
207,614,102,2025-03-07,In Progress,56.0
208,27624,189,2025-12-28,Dropped,22.0
209,17028,64,2025-12-27,Dropped,71.0
210,11061,172,2025-03-18,Completed,99.0
211,28730,163,2025-06-18,In Progress,53.0
212,17520,32,2024-03-27,In Progress,19.0
213,12885,66,2024-03-07,Completed,48.0
214,16203,63,2025-05-05,Dropped,11.0
215,14138,172,2025-09-04,Dropped,99.0
216,20084,71,2024-06-17,Completed,99.0
217,10555,123,2026-01-28,Completed,30.0
218,16546,177,2024-11-20,Dropped,84.0
219,10014,191,2024-03-26,In Progress,40.0
220,6070,120,2024-10-16,Dropped,7.0
221,28996,169,2024-09-19,In Progress,97.0
222,27342,71,2025-10-22,Dropped,65.0
223,3403,35,2024-09-12,In Progress,92.0
224,10820,79,2025-07-26,In Progress,55.0
225,3994,186,2024-08-24,Completed,97.0
226,13187,198,2024-07-17,Completed,90.0
227,21240,6,2025-08-28,Completed,89.0
228,29174,12,2024-09-04,Completed,60.0
229,57,132,2024-08-28,Dropped,67.0
230,21669,34,2024-06-08,Dropped,18.0
231,19622,35,2024-05-17,In Progress,32.0
232,26921,199,2025-02-03,Dropped,21.0
233,29700,104,2024-11-21,Completed,100.0
234,21287,97,2025-02-17,Completed,89.0
235,5997,200,2025-07-15,Completed,25.0
236,29802,123,2025-12-23,Completed,92.0
237,620,7,2025-06-26,Dropped,66.0
238,16042,195,2024-08-14,Completed,23.0
239,21259,137,2024-07-29,In Progress,25.0
240,13067,29,2025-10-12,In Progress,93.0
241,2614,179,2025-02-06,Completed,95.0
242,23526,7,2025-10-03,In Progress,34.0
243,28838,120,2024-12-19,In Progress,68.0
244,21758,18,2025-05-19,Dropped,6.0
245,19220,95,2024-07-01,Completed,50.0
246,25242,20,2025-05-30,Dropped,82.0
247,8320,191,2024-07-24,Dropped,26.0
248,3558,23,2025-08-03,Completed,86.0
249,4172,58,2024-03-16,In Progress,9.0
250,4983,47,2024-11-27,Dropped,96.0
251,13533,22,2025-12-30,In Progress,59.0
252,6926,182,2024-07-02,Dropped,54.0
253,17019,172,2025-11-05,Completed,87.0
254,19993,169,2024-10-31,Completed,81.0
255,23991,79,2024-08-09,Completed,22.0
256,15795,13,2025-08-20,Completed,24.0
257,28266,11,2024-05-22,Completed,3.0
258,5738,27,2024-03-11,Completed,91.0
259,12903,47,2024-12-03,Dropped,16.0
260,25562,18,2024-07-28,Dropped,30.0
261,24330,92,2025-04-15,Dropped,99.0
262,18958,130,2024-08-08,Completed,44.0
263,1157,12,2024-08-22,Dropped,42.0
264,29113,121,2025-05-24,Completed,36.0
265,5654,4,2025-11-19,Completed,7.0
266,3869,41,2025-09-29,Completed,22.0
267,22919,110,2024-09-25,Completed,7.0
268,8436,16,2026-01-22,Completed,74.0
269,17152,161,2025-06-30,Dropped,4.0
270,11410,172,2025-02-28,Dropped,67.0
271,8607,59,2026-02-19,Completed,56.0
272,6571,194,2025-12-20,In Progress,91.0
273,11476,78,2025-10-17,Completed,32.0
274,12537,28,2025-11-01,Completed,68.0
275,11299,107,2024-05-17,Completed,35.0
276,2887,97,2024-07-11,Completed,38.0
277,14589,176,2024-12-24,Completed,25.0
278,862,88,2025-02-19,Completed,63.0
279,21299,156,2024-10-29,Completed,28.0
280,21342,155,2025-10-09,In Progress,81.0
281,27934,13,2025-11-06,Completed,7.0
282,20318,186,2024-03-07,Completed,100.0
283,11957,2,2025-07-31,Completed,67.0
284,16594,124,2026-02-06,Completed,90.0
285,22507,93,2025-01-08,Completed,92.0
286,18542,145,2025-03-21,Completed,23.0
287,2378,146,2025-05-15,Completed,34.0
288,18574,188,2025-01-09,Completed,100.0
289,25252,142,2026-02-17,Dropped,48.0
290,6231,90,2025-07-11,Completed,39.0
291,22668,196,2025-03-08,Dropped,88.0
292,17740,6,2025-03-18,Dropped,23.0
293,15010,144,2025-12-15,Completed,80.0
294,24602,85,2025-09-17,Completed,9.0
295,10886,171,2024-05-13,Completed,77.0
296,16229,175,2025-03-08,Completed,59.0
297,1651,200,2025-11-02,Completed,40.0
298,16053,135,2025-08-19,Dropped,78.0
299,2959,175,2025-06-02,Completed,80.0
300,20842,71,2024-07-01,Completed,32.0
301,5991,75,2024-08-26,In Progress,95.0
302,18067,43,2025-04-01,Dropped,89.0
303,12648,96,2024-08-28,Completed,81.0
304,18351,83,2024-06-02,In Progress,95.0
305,3287,191,2024-06-01,Dropped,72.0
306,17380,51,2024-08-02,Dropped,5.0
307,24653,85,2025-05-06,In Progress,75.0
308,18527,3,2025-09-26,Completed,61.0
309,957,105,2024-12-03,Completed,51.0
310,27621,174,2024-10-18,In Progress,81.0
311,218,95,2026-02-11,Completed,22.0
312,20331,166,2025-08-03,Dropped,90.0
313,2416,103,2025-10-14,Completed,62.0
314,22580,129,2026-01-21,Completed,63.0
315,11538,85,2025-12-15,Completed,69.0
316,1468,14,2025-12-09,In Progress,51.0
317,12975,38,2025-08-10,Completed,86.0
318,19257,36,2025-01-23,Completed,6.0
319,16417,192,2026-02-12,Dropped,57.0
320,11112,125,2024-06-17,Completed,36.0
321,19872,94,2024-05-22,Completed,72.0
322,23172,125,2026-01-18,Completed,91.0
323,25001,37,2025-06-14,Completed,96.0
324,21267,126,2025-04-27,Completed,10.0
325,3079,86,2024-08-13,In Progress,0.0
326,6639,188,2026-01-28,Dropped,
327,29411,159,2024-05-09,Dropped,81.0
328,4863,46,2024-09-28,In Progress,31.0
329,18202,131,2024-07-07,Completed,28.0
330,22252,52,2025-03-20,Completed,30.0
331,12119,82,2024-05-25,In Progress,11.0
332,21858,96,2025-09-18,In Progress,74.0
333,12211,140,2025-12-28,In Progress,56.0
334,15032,148,2025-05-04,Dropped,7.0
335,4295,151,2025-08-15,Completed,47.0
336,715,29,2024-11-26,Completed,24.0
337,14771,16,2025-06-16,In Progress,26.0
338,19592,100,2025-11-08,Dropped,75.0
339,3981,160,2025-05-29,Completed,80.0
340,4384,56,2025-07-04,Dropped,44.0
341,18409,1,2024-11-23,In Progress,81.0
342,28450,169,2025-06-06,Dropped,23.0
343,11922,101,2024-11-13,Completed,100.0
344,6863,91,2024-03-19,In Progress,72.0
345,18999,82,2024-08-16,Dropped,19.0
346,811,196,2025-05-24,Dropped,78.0
347,10648,29,2024-06-14,Completed,25.0
348,2031,72,2024-11-21,Dropped,66.0
349,13205,88,2026-01-25,In Progress,21.0
350,6034,138,2024-03-26,Dropped,73.0
351,15246,195,2024-11-26,Completed,79.0
352,26362,52,2025-11-30,Completed,74.0
353,1973,67,2025-04-02,Completed,23.0
354,7955,23,2026-02-08,Dropped,93.0
355,25293,155,2025-02-02,In Progress,37.0
356,825,42,2025-08-12,Dropped,97.0
357,1728,24,2024-06-07,Completed,54.0
358,7504,63,2024-04-19,Completed,47.0
359,5122,107,2024-09-29,In Progress,64.0
360,18617,8,2025-05-28,Completed,94.0
361,15010,136,2024-07-07,Completed,67.0
362,5681,175,2024-12-27,Dropped,47.0
363,6746,17,2024-06-05,Dropped,70.0
364,7606,33,2024-04-21,Completed,95.0
365,763,128,2025-08-26,Completed,54.0
366,22,10,2025-01-04,Completed,99.0
367,18644,112,2026-01-03,In Progress,38.0
368,14813,139,2024-05-16,Completed,55.0
369,4562,51,2025-07-04,In Progress,52.0
370,23517,114,2025-12-10,Dropped,61.0
371,3306,72,2025-02-03,Completed,63.0
372,28844,157,2025-05-20,Completed,72.0
373,7771,84,2025-04-27,In Progress,95.0
374,21277,34,2024-06-27,Completed,79.0
375,9734,104,2024-04-23,Completed,3.0
376,28916,118,2024-10-09,Completed,25.0
377,8613,139,2025-07-27,Completed,47.0
378,11737,136,2025-03-01,Completed,74.0
379,4437,1,2025-01-11,In Progress,57.0
380,7098,27,2024-06-12,Dropped,4.0
381,26560,115,2024-10-07,Completed,47.0
382,6815,177,2025-06-17,Completed,65.0
383,8315,20,2026-02-09,Completed,40.0
384,21352,117,2025-05-04,Completed,
385,8626,47,2025-05-14,Completed,88.0
386,16336,22,2025-01-15,In Progress,59.0
387,22716,22,2025-06-09,Completed,14.0
388,29710,195,2024-06-03,Completed,2.0
389,4166,126,2024-03-21,Dropped,99.0
390,29323,79,2025-10-16,Dropped,24.0
391,19867,77,2026-01-23,In Progress,58.0
392,8038,79,2025-07-08,Dropped,60.0
393,19269,56,2025-03-14,Completed,34.0
394,19023,22,2024-06-05,In Progress,41.0
395,20262,112,2024-11-14,Completed,27.0
396,14773,172,2025-12-14,Completed,52.0
397,18000,81,2025-10-14,In Progress,27.0
398,15506,128,2024-03-04,Completed,65.0
399,22389,189,2025-03-12,Completed,100.0
400,3809,122,2025-05-27,Completed,7.0
401,16611,173,2025-09-05,Completed,47.0
402,13694,169,2026-01-25,Dropped,57.0
403,14327,50,2025-11-10,Completed,40.0
404,14516,74,2024-04-03,Dropped,57.0
405,536,171,2025-08-07,In Progress,15.0
406,1123,117,2025-04-07,Dropped,65.0
407,20750,146,2025-12-01,Completed,60.0
408,7090,169,2025-10-06,Dropped,90.0
409,21598,107,2025-01-01,Dropped,66.0
410,14104,91,2025-06-01,Completed,60.0
411,3535,8,2025-04-01,Completed,3.0
412,17043,121,2025-09-25,Completed,16.0
413,15382,18,2025-05-20,Completed,8.0
414,14338,110,2025-02-17,Completed,58.0
415,27684,94,2025-11-05,Dropped,65.0
416,26898,187,2025-03-14,In Progress,27.0
417,7219,153,2025-02-23,Completed,13.0
418,9359,51,2025-06-10,In Progress,57.0
419,4992,129,2024-08-24,In Progress,30.0
420,13795,102,2024-11-17,Completed,
421,10164,177,2025-09-27,In Progress,15.0
422,24593,141,2025-08-13,Dropped,90.0
423,18288,89,2024-07-09,Dropped,85.0
424,17997,64,2025-05-26,Completed,71.0
425,5398,8,2024-10-07,Dropped,22.0
426,11899,188,2024-06-18,Dropped,27.0
427,25012,147,2025-12-20,Completed,42.0
428,12264,62,2025-08-23,In Progress,65.0
429,19840,168,2024-08-05,Completed,13.0
430,2005,118,2024-05-24,Dropped,62.0
431,29530,53,2025-02-21,Dropped,49.0
432,2734,113,2025-03-10,Completed,49.0
433,21636,105,2025-09-10,Completed,15.0
434,24839,114,2024-11-14,In Progress,79.0
435,18826,105,2024-12-17,Dropped,16.0
436,7951,117,2024-06-12,Completed,81.0
437,22426,3,2025-08-09,Completed,31.0
438,6352,122,2025-10-07,Completed,47.0
439,808,29,2025-08-14,Completed,5.0
440,16061,80,2025-04-29,Dropped,49.0
441,18897,135,2026-01-20,Completed,30.0
442,358,62,2024-06-12,Completed,93.0
443,7312,181,2024-06-16,Completed,53.0
444,2402,85,2024-10-23,Completed,20.0
445,1275,171,2024-04-11,In Progress,50.0
446,12664,14,2025-11-08,Completed,67.0
447,989,167,2024-02-28,Completed,54.0
448,15605,24,2025-03-22,In Progress,80.0
449,16402,33,2024-12-18,In Progress,57.0
450,18123,116,2025-05-12,Dropped,68.0
451,2764,86,2024-12-13,Completed,92.0
452,6629,62,2025-11-11,Dropped,6.0
453,5122,62,2024-08-31,In Progress,87.0
454,27574,114,2025-11-14,Completed,47.0
455,14712,112,2024-07-05,Completed,26.0
456,17298,183,2025-10-25,In Progress,68.0
457,8758,14,2024-03-06,Completed,41.0
458,23718,96,2025-06-02,In Progress,55.0
459,19297,62,2026-01-21,Completed,95.0
460,25929,26,2025-07-29,In Progress,21.0
461,1472,5,2025-01-28,In Progress,28.0
462,3164,175,2024-06-22,Dropped,31.0
463,15880,29,2025-09-12,In Progress,42.0
464,21756,149,2025-10-19,In Progress,36.0
465,16302,153,2025-04-25,In Progress,25.0
466,8804,181,2024-08-28,In Progress,91.0
467,25639,80,2025-05-21,Completed,66.0
468,8628,84,2024-09-09,Completed,32.0
469,25224,75,2025-07-11,In Progress,62.0
470,10602,56,2024-12-08,In Progress,28.0
471,4018,116,2024-06-08,Completed,65.0
472,2610,189,2025-06-21,Dropped,75.0
473,83,32,2024-09-05,Dropped,65.0
474,1790,136,2024-08-31,Completed,34.0
475,14020,200,2024-04-02,Dropped,61.0
476,9243,130,2024-07-15,Dropped,25.0
477,5709,155,2025-10-02,Completed,38.0
478,7974,36,2026-01-18,Completed,70.0
479,28415,99,2024-08-05,In Progress,25.0
480,4117,151,2025-05-24,Completed,3.0
481,29914,41,2025-07-02,Dropped,49.0
482,13357,112,2025-01-31,In Progress,28.0
483,13242,141,2025-09-18,In Progress,91.0
484,5527,109,2025-10-10,Completed,94.0
485,19126,134,2025-03-03,Completed,10.0
486,798,187,2024-06-12,In Progress,85.0
487,2527,148,2025-09-23,Completed,49.0
488,21136,90,2026-02-16,Completed,56.0
489,24116,100,2024-10-20,Dropped,55.0
490,17147,19,2024-11-08,Dropped,35.0
491,8810,86,2025-07-04,Dropped,32.0
492,12073,140,2025-08-19,Completed,59.0
493,4807,3,2025-04-04,Completed,73.0
494,12625,117,2026-01-01,Completed,70.0
495,20248,133,2026-01-14,Dropped,62.0
496,15508,69,2024-03-30,In Progress,0.0
497,20071,171,2024-09-28,In Progress,80.0
498,17152,53,2025-07-19,In Progress,94.0
499,15155,167,2024-07-11,Completed,84.0
500,21986,7,2024-08-20,In Progress,18.0
501,3186,122,2024-07-14,Completed,90.0
502,25597,35,2025-02-24,Completed,62.0
503,23814,102,2025-11-05,Dropped,87.0
504,28070,181,2024-08-23,Dropped,68.0
505,17462,17,2024-08-01,Completed,29.0
506,11452,199,2024-11-19,Completed,92.0
507,11803,20,2025-01-26,In Progress,17.0
508,9968,34,2025-07-01,Dropped,83.0
509,13502,126,2026-01-22,Completed,51.0
510,11071,30,2026-01-31,Dropped,89.0
511,1891,114,2025-09-29,Dropped,20.0
512,1627,40,2024-10-07,Completed,80.0
513,11811,141,2024-06-11,Completed,54.0
514,6647,179,2025-09-04,Completed,19.0
515,28861,134,2025-11-30,In Progress,91.0
516,17956,56,2024-11-01,Dropped,52.0
517,29542,119,2025-02-23,Completed,9.0
518,20060,115,2024-08-09,In Progress,
519,26168,91,2025-08-13,Completed,71.0
520,27203,125,2025-03-13,Completed,80.0
521,21817,18,2025-10-29,Completed,38.0
522,25769,88,2025-05-06,In Progress,82.0
523,4774,103,2024-03-05,Completed,75.0
524,5045,26,2025-06-07,Dropped,59.0
525,28824,162,2024-05-23,Completed,41.0
526,13210,149,2025-05-01,Dropped,50.0
527,9321,28,2025-01-23,Dropped,66.0
528,11631,5,2024-06-17,Completed,8.0
529,9308,106,2025-01-12,Completed,86.0
530,21193,82,2025-04-29,Dropped,5.0
531,29477,8,2025-10-03,In Progress,34.0
532,10101,112,2024-03-12,Completed,17.0
533,29104,162,2024-11-22,Completed,12.0
534,20137,55,2025-05-23,Completed,50.0
535,1329,22,2025-02-28,In Progress,28.0
536,4124,87,2025-06-05,Completed,74.0
537,1312,73,2024-04-24,Completed,73.0
538,4451,53,2024-10-12,Completed,7.0
539,12231,55,2025-06-20,Completed,98.0
540,26439,155,2025-07-01,Completed,13.0
541,26581,123,2026-02-02,Completed,72.0
542,11808,78,2025-10-29,Dropped,92.0
543,2726,116,2025-04-29,Completed,73.0
544,23956,84,2025-04-17,Completed,35.0
545,2184,154,2025-06-25,In Progress,97.0
546,15428,41,2024-04-23,In Progress,90.0
547,154,199,2024-09-25,Dropped,79.0
548,21967,73,2025-10-07,Completed,25.0
549,816,71,2025-12-09,Dropped,98.0
550,1120,196,2025-08-05,In Progress,100.0
551,27845,191,2026-02-08,Dropped,6.0
552,18540,75,2025-06-03,Completed,39.0
553,5166,196,2025-08-09,Dropped,32.0
554,1210,183,2025-06-11,Completed,78.0
555,25030,177,2026-01-09,In Progress,97.0
556,22813,81,2025-07-22,Completed,29.0
557,1107,104,2025-09-23,Completed,20.0
558,14986,134,2024-06-08,Completed,43.0
559,27373,181,2024-12-10,Completed,51.0
560,29121,140,2024-12-28,In Progress,13.0
561,20801,1,2025-04-18,Dropped,73.0
562,5265,29,2026-01-27,Completed,69.0
563,12566,90,2025-01-06,Dropped,30.0
564,27236,72,2025-03-07,Completed,89.0
565,1038,51,2024-11-25,Completed,43.0
566,3334,186,2025-08-09,Completed,33.0
567,16798,30,2026-01-17,Dropped,80.0
568,10734,64,2025-08-23,Completed,66.0
569,28719,122,2025-09-10,Dropped,32.0
570,7905,179,2024-08-26,Completed,83.0
571,1940,132,2025-10-03,Dropped,21.0
572,17040,88,2025-03-24,Dropped,53.0
573,15556,200,2024-09-14,Completed,96.0
574,7458,95,2024-12-24,Completed,55.0
575,12237,82,2024-09-28,Completed,67.0
576,18864,189,2026-02-13,Completed,30.0
577,22024,162,2025-04-18,Dropped,41.0
578,28438,59,2026-01-13,Dropped,
579,25924,33,2024-09-26,Completed,13.0
580,22306,40,2024-05-04,Completed,44.0
581,15789,73,2026-02-02,Dropped,68.0
582,9509,84,2025-12-27,Completed,94.0
583,22905,40,2025-12-09,Dropped,16.0
584,3607,175,2025-06-09,Completed,36.0
585,5204,174,2025-10-04,Completed,51.0
586,28415,2,2025-11-28,In Progress,95.0
587,4059,107,2024-08-27,Dropped,99.0
588,5005,167,2025-10-07,Completed,20.0
589,22853,21,2024-07-10,Completed,24.0
590,8016,94,2025-08-01,Completed,42.0
591,16700,42,2024-06-13,Dropped,74.0
592,22448,46,2024-08-04,In Progress,68.0
593,24797,115,2024-09-11,In Progress,52.0
594,22426,115,2024-06-02,Completed,12.0
595,18646,17,2025-01-10,Dropped,52.0
596,24024,33,2024-09-11,In Progress,49.0
597,17229,75,2024-11-21,Completed,94.0
598,1515,42,2025-12-08,Completed,78.0
599,1109,8,2025-04-04,In Progress,66.0
600,14721,132,2025-10-25,Completed,89.0
601,21508,106,2024-10-21,Dropped,82.0
602,18115,139,2025-09-07,Completed,22.0
603,3186,149,2025-10-16,Dropped,83.0
604,17623,132,2024-03-19,In Progress,55.0
605,5456,13,2025-03-22,Completed,35.0
606,2925,31,2025-05-09,Completed,85.0
607,6797,181,2024-02-25,Completed,31.0
608,25767,132,2024-03-10,Completed,7.0
609,28959,16,2025-10-02,Dropped,51.0
610,22424,115,2025-02-28,Completed,8.0
611,19951,104,2025-03-12,Dropped,37.0
612,27008,49,2025-07-20,Dropped,51.0
613,15354,42,2024-11-03,Completed,96.0
614,27471,86,2025-02-22,Dropped,
615,14853,56,2025-06-25,In Progress,52.0
616,17841,80,2025-07-05,In Progress,84.0
617,17494,196,2024-03-18,In Progress,28.0
618,13910,114,2024-07-23,In Progress,55.0
619,1931,89,2025-07-16,Dropped,100.0
620,24088,39,2024-12-11,Completed,27.0
621,27693,173,2025-10-11,Completed,17.0
